source,shift_idx,step_idx,time,zone,event_type,time_bucket
real,0,0,2024-01-01T01:00:00,Staff Room,workstation,0
real,0,1,2024-01-01T01:15:00,Staff Room,workstation,0
real,0,2,2024-01-01T01:30:00,Staff Room,workstation,0
real,0,3,2024-01-01T01:45:00,Staff Room,workstation,0
real,0,4,2024-01-01T02:00:00,Staff Room,workstation,0
real,0,5,2024-01-01T02:15:00,Staff Room,workstation,0
real,0,6,2024-01-01T02:30:00,Staff Room,workstation,0
real,0,7,2024-01-01T02:45:00,Staff Room,workstation,0
real,0,8,2024-01-01T03:00:00,Staff Room,workstation,0
real,0,9,2024-01-01T03:15:00,Staff Room,workstation,0
real,0,10,2024-01-01T03:30:00,Staff Room,workstation,0
real,0,11,2024-01-01T03:45:00,Staff Room,workstation,0
real,0,12,2024-01-01T04:00:00,Staff Room,workstation,0
real,0,13,2024-01-01T04:15:00,Staff Room,workstation,0
real,0,14,2024-01-01T04:30:00,Staff Room,workstation,0
real,0,15,2024-01-01T04:45:00,Staff Room,workstation,0
real,0,16,2024-01-01T05:00:00,Staff Room,door_access,0
real,0,17,2024-01-01T05:15:00,Staff Room,none,0
real,0,18,2024-01-01T05:30:00,Staff Room,none,0
real,0,19,2024-01-01T05:45:00,Staff Room,none,0
real,0,20,2024-01-01T06:00:00,Corridor,door_access,1
real,0,21,2024-01-01T06:15:00,Corridor,none,1
real,0,22,2024-01-01T06:30:00,Corridor,none,1
real,0,23,2024-01-01T06:45:00,Corridor,none,1
real,0,24,2024-01-01T07:00:00,Ward,attend_patient,1
real,0,25,2024-01-01T07:15:00,Ward,attend_patient,1
real,0,26,2024-01-01T07:30:00,Ward,attend_patient,1
real,0,27,2024-01-01T07:45:00,Ward,attend_patient,1
real,0,28,2024-01-01T08:00:00,Ward,attend_patient,1
real,0,29,2024-01-01T08:15:00,Ward,attend_patient,1
real,0,30,2024-01-01T08:30:00,Ward,door_access,1
real,0,31,2024-01-01T08:45:00,Ward,none,1
real,0,32,2024-01-01T09:00:00,Ward,none,1
real,0,33,2024-01-01T09:15:00,Ward,none,1
real,0,34,2024-01-01T09:30:00,Corridor,door_access,1
real,0,35,2024-01-01T09:45:00,Corridor,none,1
real,0,36,2024-01-01T10:00:00,Staff Room,door_access,1
real,0,37,2024-01-01T10:15:00,Staff Room,none,1
real,0,38,2024-01-01T10:30:00,Staff Room,none,1
real,0,39,2024-01-01T10:45:00,Staff Room,none,1
real,0,40,2024-01-01T11:00:00,Staff Room,none,1
real,0,41,2024-01-01T11:15:00,Staff Room,none,1
real,0,42,2024-01-01T11:30:00,Corridor,door_access,1
real,0,43,2024-01-01T11:45:00,Corridor,none,1
real,0,44,2024-01-01T12:00:00,Ward,attend_patient,2
real,0,45,2024-01-01T12:15:00,Ward,attend_patient,2
real,0,46,2024-01-01T12:30:00,Ward,attend_patient,2
real,0,47,2024-01-01T12:45:00,Ward,attend_patient,2
real,0,48,2024-01-01T13:00:00,Ward,attend_patient,2
real,0,49,2024-01-01T13:15:00,Ward,attend_patient,2
real,0,50,2024-01-01T13:30:00,Ward,attend_patient,2
real,0,51,2024-01-01T13:45:00,Ward,attend_patient,2
real,0,52,2024-01-01T14:00:00,Ward,attend_patient,2
real,0,53,2024-01-01T14:15:00,Ward,attend_patient,2
real,0,54,2024-01-01T14:30:00,Ward,door_access,2
real,0,55,2024-01-01T14:45:00,Ward,none,2
real,0,56,2024-01-01T15:00:00,Ward,none,2
real,0,57,2024-01-01T15:15:00,Ward,none,2
real,0,58,2024-01-01T15:30:00,Corridor,door_access,2
real,0,59,2024-01-01T15:45:00,Corridor,none,2
real,0,60,2024-01-01T16:00:00,Staff Room,workstation,2
real,0,61,2024-01-01T16:15:00,Staff Room,workstation,2
real,0,62,2024-01-01T16:30:00,Staff Room,door_access,2
real,0,63,2024-01-01T16:45:00,Staff Room,none,2
real,0,64,2024-01-01T17:00:00,Corridor,door_access,2
real,0,65,2024-01-01T17:15:00,Corridor,none,2
real,0,66,2024-01-01T17:30:00,Corridor,none,2
real,0,67,2024-01-01T17:45:00,Corridor,none,2
real,0,68,2024-01-01T18:00:00,Ward,attend_patient,3
real,0,69,2024-01-01T18:15:00,Ward,attend_patient,3
real,0,70,2024-01-01T18:30:00,Ward,attend_patient,3
real,0,71,2024-01-01T18:45:00,Ward,attend_patient,3
real,0,72,2024-01-01T19:00:00,Ward,attend_patient,3
real,0,73,2024-01-01T19:15:00,Ward,attend_patient,3
real,0,74,2024-01-01T19:30:00,Ward,door_access,3
real,0,75,2024-01-01T19:45:00,Ward,none,3
real,0,76,2024-01-01T20:00:00,Corridor,door_access,3
real,0,77,2024-01-01T20:15:00,Corridor,none,3
real,0,78,2024-01-01T20:30:00,Corridor,none,3
real,0,79,2024-01-01T20:45:00,Corridor,none,3
real,0,80,2024-01-01T21:00:00,Staff Room,none,3
